지역,행정구역면적_㎢,세대수,면적대비_세대수(세대/㎢),CCTV개수,면적대비세대_기준_CCTV비율,세대1만당_CCTV(대),면적당_CCTV(대/㎢)
가평군,843.41,33095.0,39.23951577524573,66,1.6819779422873546,19.942589515032484,0.07825375558743672
고양시,267.33,466481.0,1744.9631541540418,964,0.5524471950626071,20.6653647201065,3.6060300003740697
과천시,35.86,28753.0,801.8126045733408,99,0.12347024658296525,34.431189788891594,2.7607361963190185
광명시,38.5,124760.0,3240.5194805194806,166,0.0512263546008336,13.305546649567168,4.311688311688312
광주시,430.99,175938.0,408.21828812733474,349,0.8549347497413862,19.83653332423922,0.8097635676001763
구리시,33.29,81890.0,2459.8978672273956,174,0.07073464403468067,21.248015630724144,5.226794833283268
군포시,36.35,111651.0,3071.554332874828,244,0.07943860780467707,21.85381232590841,6.71251719394773
김포시,276.55,207331.0,749.7052974145723,239,0.31879193174199716,11.527460919978198,0.8642198517447116
남양주시,459.99,308853.0,671.434161612209,550,0.8191421161523443,17.807824434277794,1.195678166916672
동두천시,95.68,43542.0,455.0794314381271,104,0.22853153277295485,23.884984612557993,1.0869565217391304
부천시,53.44,342442.0,6407.9715568862275,550,0.08583059320994504,16.06111399886696,10.29191616766467
성남시,141.84,409559.0,2887.471799210378,691,0.23930969652724027,16.87180601573888,4.871686407219402
수원시,121.13,542000.0,4474.531495087922,747,0.166944852398524,13.782287822878228,6.166928093783539
시흥시,131.46,229833.0,1748.3112733911455,154,0.08808500084844213,6.7005173321498654,1.1714589989350372
안산시,144.92,287889.0,1986.5373999447972,537,0.2703196023467378,18.6530225190959,3.7054926856196526
안성시,554.34,97100.0,175.1632572067684,254,1.450075798146241,26.15859938208033,0.45820254717321496
안양시,58.52,240105.0,4102.956254272043,298,0.07263055746444265,12.411236750588284,5.092276144907723
양주시,310.1,132605.0,427.62012254111573,247,0.577615474529618,18.626748614305644,0.7965172524991937
양평군,877.8,63680.0,72.54499886078834,84,1.157902010050251,13.190954773869347,0.09569377990430622
여주시,608.3,56841.0,93.44238040440572,408,4.366327123027392,71.77917348392886,0.6707216833799112
연천군,676.3,22531.0,33.31509685051013,70,2.1011495273179173,31.068305889663133,0.10350436196954015
오산시,42.76,115605.0,2703.578110383536,110,0.040686821504260194,9.515159378919597,2.5724976613657624
용인시,591.53,448954.0,758.9708045238618,648,0.8537877822672256,14.433549985076422,1.0954643044308827
의왕시,53.96,66223.0,1227.2609340252038,79,0.06437098893133805,11.929390091055977,1.464047442550037
의정부시,81.59,212488.0,2604.3387670057605,419,0.1608853676442905,19.718760588833252,5.135433263880377
이천시,461.15,106815.0,231.62745310636453,473,2.042072274493283,44.28217010719468,1.0256966279952293
파주시,682.61,233887.0,342.6363516502835,522,1.5234810827450862,22.318470030399297,0.7647119145632205
평택시,452.31,293634.0,649.187504145387,1296,1.9963415680745418,44.13657818917428,2.8652915036147775
포천시,826.4,73793.0,89.29453049370765,234,2.620541243749407,31.71032482755817,0.2831558567279768
하남시,93.08,141010.0,1514.9333906317147,362,0.23895440039713495,25.671938160414154,3.889127632144392
화성시,844.17,428851.0,508.01497328737105,771,1.5176718020944338,17.9782721737853,0.9133231458118626
